num_wavefunction, num_operator, time
1, 1, 217379
11, 1, 1560
21, 1, 1225
31, 1, 1028
41, 1, 514
51, 1, 543
61, 1, 1361
71, 1, 1021
81, 1, 997
91, 1, 854
101, 1, 562
111, 1, 863
121, 1, 547
131, 1, 536
141, 1, 853
151, 1, 520
161, 1, 583
171, 1, 1102
181, 1, 1781
191, 1, 1009
201, 1, 711
211, 1, 603
221, 1, 544
231, 1, 1679
241, 1, 594
251, 1, 1127
261, 1, 626
271, 1, 1305
281, 1, 962
291, 1, 581
301, 1, 553
311, 1, 702
321, 1, 554
331, 1, 563
341, 1, 561
351, 1, 698
361, 1, 1039
371, 1, 1111
381, 1, 896
391, 1, 1002
401, 1, 1809
411, 1, 908
421, 1, 639
431, 1, 597
441, 1, 2355
451, 1, 1364
461, 1, 845
471, 1, 1160
481, 1, 1193
491, 1, 984
501, 1, 627
511, 1, 1037
521, 1, 1036
531, 1, 1945
541, 1, 659
551, 1, 1077
561, 1, 674
571, 1, 1198
581, 1, 852
591, 1, 1106
601, 1, 653
611, 1, 650
621, 1, 1997
631, 1, 1134
641, 1, 912
651, 1, 1242
661, 1, 698
671, 1, 721
681, 1, 678
691, 1, 899
701, 1, 1136
711, 1, 1182
721, 1, 1894
731, 1, 1161
741, 1, 1097
751, 1, 1210
761, 1, 1159
771, 1, 1228
781, 1, 1231
791, 1, 2152
801, 1, 1323
811, 1, 1330
821, 1, 1087
831, 1, 1341
841, 1, 1270
851, 1, 1025
861, 1, 2226
871, 1, 1425
881, 1, 1356
891, 1, 1532
901, 1, 1177
911, 1, 1081
921, 1, 2366
931, 1, 1321
941, 1, 1197
951, 1, 1117
961, 1, 1390
971, 1, 1149
981, 1, 768
991, 1, 715
1, 11, 8971
11, 11, 8195
21, 11, 7442
31, 11, 9753
41, 11, 9039
51, 11, 10012
61, 11, 9171
71, 11, 9144
81, 11, 7861
91, 11, 9107
101, 11, 8211
111, 11, 8521
121, 11, 9132
131, 11, 7804
141, 11, 8717
151, 11, 6858
161, 11, 8229
171, 11, 7582
181, 11, 9452
191, 11, 8532
201, 11, 7559
211, 11, 9506
221, 11, 7743
231, 11, 6577
241, 11, 9102
251, 11, 8073
261, 11, 9430
271, 11, 8025
281, 11, 7211
291, 11, 8775
301, 11, 9196
311, 11, 8499
321, 11, 7864
331, 11, 7075
341, 11, 9111
351, 11, 8242
361, 11, 7583
371, 11, 7174
381, 11, 8092
391, 11, 8318
401, 11, 8499
411, 11, 9077
421, 11, 7832
431, 11, 8564
441, 11, 7776
451, 11, 6743
461, 11, 8609
471, 11, 9711
481, 11, 9420
491, 11, 7873
501, 11, 9629
511, 11, 9053
521, 11, 9739
531, 11, 10238
541, 11, 9361
551, 11, 9886
561, 11, 10606
571, 11, 9245
581, 11, 8767
591, 11, 8850
601, 11, 8476
611, 11, 8488
621, 11, 9997
631, 11, 9325
641, 11, 8923
651, 11, 9026
661, 11, 9454
671, 11, 10346
681, 11, 9161
691, 11, 9985
701, 11, 8443
711, 11, 10104
721, 11, 8992
731, 11, 10753
741, 11, 9019
751, 11, 11372
761, 11, 9937
771, 11, 8524
781, 11, 7018
791, 11, 10110
801, 11, 9692
811, 11, 9324
821, 11, 9035
831, 11, 10330
841, 11, 9841
851, 11, 9878
861, 11, 9559
871, 11, 6884
881, 11, 10484
891, 11, 9889
901, 11, 8363
911, 11, 8670
921, 11, 10708
931, 11, 10534
941, 11, 11264
951, 11, 8809
961, 11, 10180
971, 11, 8123
981, 11, 10755
991, 11, 8889
1, 21, 15646
11, 21, 16033
21, 21, 15035
31, 21, 15619
41, 21, 15193
51, 21, 15652
61, 21, 13885
71, 21, 13882
81, 21, 17034
91, 21, 15346
101, 21, 13884
111, 21, 15222
121, 21, 15147
131, 21, 16435
141, 21, 13483
151, 21, 14647
161, 21, 15179
171, 21, 16882
181, 21, 14534
191, 21, 17664
201, 21, 16355
211, 21, 16987
221, 21, 15967
231, 21, 14328
241, 21, 13118
251, 21, 16343
261, 21, 15144
271, 21, 16977
281, 21, 14800
291, 21, 15843
301, 21, 15617
311, 21, 17406
321, 21, 17215
331, 21, 15435
341, 21, 14825
351, 21, 19458
361, 21, 17656
371, 21, 18054
381, 21, 17397
391, 21, 16361
401, 21, 15813
411, 21, 16243
421, 21, 18849
431, 21, 17562
441, 21, 15605
451, 21, 15375
461, 21, 17053
471, 21, 17385
481, 21, 16299
491, 21, 16065
501, 21, 16649
511, 21, 17446
521, 21, 16274
531, 21, 18420
541, 21, 17713
551, 21, 17010
561, 21, 18421
571, 21, 18119
581, 21, 17074
591, 21, 16910
601, 21, 14042
611, 21, 17232
621, 21, 18216
631, 21, 16956
641, 21, 19411
651, 21, 17186
661, 21, 17942
671, 21, 17188
681, 21, 16689
691, 21, 17796
701, 21, 17747
711, 21, 17030
721, 21, 16687
731, 21, 17824
741, 21, 17999
751, 21, 18839
761, 21, 15977
771, 21, 17588
781, 21, 19321
791, 21, 16515
801, 21, 18646
811, 21, 19826
821, 21, 18365
831, 21, 17533
841, 21, 19380
851, 21, 17402
861, 21, 18995
871, 21, 18056
881, 21, 17887
891, 21, 17335
901, 21, 17731
911, 21, 18214
921, 21, 17999
931, 21, 19254
941, 21, 19395
951, 21, 20392
961, 21, 19045
971, 21, 19411
981, 21, 18349
991, 21, 17557
1, 31, 24906
11, 31, 23132
21, 31, 22770
31, 31, 25111
41, 31, 24313
51, 31, 21050
61, 31, 22220
71, 31, 21161
81, 31, 21970
91, 31, 22623
101, 31, 20854
111, 31, 21681
121, 31, 22006
131, 31, 22694
141, 31, 22055
151, 31, 21405
161, 31, 21517
171, 31, 23920
181, 31, 23644
191, 31, 23880
201, 31, 21655
211, 31, 23876
221, 31, 23365
231, 31, 25241
241, 31, 22819
251, 31, 26796
261, 31, 23821
271, 31, 25563
281, 31, 24705
291, 31, 26748
301, 31, 26389
311, 31, 25886
321, 31, 28118
331, 31, 26714
341, 31, 24329
351, 31, 27842
361, 31, 23765
371, 31, 25520
381, 31, 24735
391, 31, 22982
401, 31, 24257
411, 31, 25052
421, 31, 23886
431, 31, 23456
441, 31, 25389
451, 31, 23621
461, 31, 24588
471, 31, 22685
481, 31, 24498
491, 31, 24766
501, 31, 24489
511, 31, 25914
521, 31, 26384
531, 31, 25184
541, 31, 25430
551, 31, 26560
561, 31, 27025
571, 31, 26673
581, 31, 23930
591, 31, 27690
601, 31, 27601
611, 31, 25615
621, 31, 26257
631, 31, 24127
641, 31, 25163
651, 31, 26297
661, 31, 25422
671, 31, 25349
681, 31, 26373
691, 31, 26430
701, 31, 25242
711, 31, 25860
721, 31, 29024
731, 31, 29053
741, 31, 25196
751, 31, 25810
761, 31, 23931
771, 31, 25939
781, 31, 29747
791, 31, 23982
801, 31, 25968
811, 31, 27811
821, 31, 27485
831, 31, 27123
841, 31, 22480
851, 31, 28067
861, 31, 28504
871, 31, 26329
881, 31, 28113
891, 31, 23473
901, 31, 27278
911, 31, 27950
921, 31, 29451
931, 31, 27281
941, 31, 25850
951, 31, 27348
961, 31, 29065
971, 31, 28942
981, 31, 28480
991, 31, 25250
1, 41, 32159
11, 41, 31601
21, 41, 30114
31, 41, 29882
41, 41, 31652
51, 41, 31068
61, 41, 30635
71, 41, 28392
81, 41, 28631
91, 41, 27938
101, 41, 27296
111, 41, 26057
121, 41, 27642
131, 41, 29935
141, 41, 26912
151, 41, 32959
161, 41, 29171
171, 41, 29039
181, 41, 31168
191, 41, 29222
201, 41, 28635
211, 41, 30413
221, 41, 30628
231, 41, 29355
241, 41, 34032
251, 41, 31263
261, 41, 28243
271, 41, 30645
281, 41, 28597
291, 41, 30302
301, 41, 29295
311, 41, 29638
321, 41, 30429
331, 41, 31533
341, 41, 28033
351, 41, 31784
361, 41, 33135
371, 41, 34314
381, 41, 32376
391, 41, 29047
401, 41, 31695
411, 41, 34322
421, 41, 33303
431, 41, 33547
441, 41, 34378
451, 41, 33819
461, 41, 31578
471, 41, 33466
481, 41, 31395
491, 41, 33082
501, 41, 34488
511, 41, 34914
521, 41, 33821
531, 41, 31890
541, 41, 34771
551, 41, 31769
561, 41, 30275
571, 41, 32790
581, 41, 31453
591, 41, 32748
601, 41, 32893
611, 41, 32519
621, 41, 35644
631, 41, 37267
641, 41, 35116
651, 41, 33526
661, 41, 33008
671, 41, 36285
681, 41, 34985
691, 41, 32990
701, 41, 33971
711, 41, 35880
721, 41, 32128
731, 41, 35285
741, 41, 35782
751, 41, 35936
761, 41, 33038
771, 41, 35618
781, 41, 37041
791, 41, 36153
801, 41, 32786
811, 41, 36831
821, 41, 35425
831, 41, 38086
841, 41, 34568
851, 41, 34932
861, 41, 36242
871, 41, 33295
881, 41, 36775
891, 41, 33999
901, 41, 35808
911, 41, 37140
921, 41, 36783
931, 41, 37112
941, 41, 35158
951, 41, 35159
961, 41, 38759
971, 41, 36161
981, 41, 36060
991, 41, 39738
1, 51, 38054
11, 51, 37757
21, 51, 38392
31, 51, 35745
41, 51, 36812
51, 51, 37666
61, 51, 37305
71, 51, 35942
81, 51, 33824
91, 51, 39358
101, 51, 35909
111, 51, 37432
121, 51, 33777
131, 51, 34700
141, 51, 41743
151, 51, 38200
161, 51, 38207
171, 51, 38794
181, 51, 37651
191, 51, 39565
201, 51, 39160
211, 51, 38621
221, 51, 39152
231, 51, 38038
241, 51, 41949
251, 51, 35826
261, 51, 40075
271, 51, 37484
281, 51, 36186
291, 51, 38885
301, 51, 38247
311, 51, 36945
321, 51, 40377
331, 51, 40733
341, 51, 38584
351, 51, 38142
