num_wavefunction, num_operator, time
1, 1, 1699
101, 1, 886
201, 1, 685
301, 1, 665
401, 1, 1849
501, 1, 796
601, 1, 1839
701, 1, 955
801, 1, 1526
901, 1, 666
1001, 1, 696
1101, 1, 1022
1201, 1, 695
1301, 1, 644
1401, 1, 1290
1501, 1, 854
1601, 1, 1460
1701, 1, 2156
1801, 1, 1353
1901, 1, 1095
2001, 1, 1807
2101, 1, 955
2201, 1, 1292
2301, 1, 1328
2401, 1, 1169
2501, 1, 1230
2601, 1, 1213
2701, 1, 1031
2801, 1, 1166
2901, 1, 1061
3001, 1, 1157
3101, 1, 2209
3201, 1, 1395
3301, 1, 2450
3401, 1, 2547
3501, 1, 1504
3601, 1, 1287
3701, 1, 1414
3801, 1, 1505
3901, 1, 1462
4001, 1, 2268
4101, 1, 1561
4201, 1, 1935
4301, 1, 2516
4401, 1, 1667
4501, 1, 1751
4601, 1, 1578
4701, 1, 1769
4801, 1, 1718
4901, 1, 1659
5001, 1, 1825
5101, 1, 1813
5201, 1, 1792
5301, 1, 2133
5401, 1, 2052
5501, 1, 1842
5601, 1, 1772
5701, 1, 1738
5801, 1, 1876
5901, 1, 1950
6001, 1, 1984
6101, 1, 1969
6201, 1, 1809
6301, 1, 1885
6401, 1, 2520
6501, 1, 1804
6601, 1, 2069
6701, 1, 1823
6801, 1, 3009
6901, 1, 1953
7001, 1, 1875
7101, 1, 1960
7201, 1, 1907
7301, 1, 2078
7401, 1, 2110
7501, 1, 2023
7601, 1, 2494
7701, 1, 2017
7801, 1, 1980
7901, 1, 2239
8001, 1, 2687
8101, 1, 1922
8201, 1, 1844
8301, 1, 1664
8401, 1, 1968
8501, 1, 2082
8601, 1, 1719
8701, 1, 2345
8801, 1, 1980
8901, 1, 1865
9001, 1, 1790
9101, 1, 1974
9201, 1, 2137
9301, 1, 1753
9401, 1, 1745
9501, 1, 3258
9601, 1, 2342
9701, 1, 1812
9801, 1, 1870
9901, 1, 1858
1, 11, 6621
101, 11, 5700
201, 11, 4736
301, 11, 6214
401, 11, 5364
501, 11, 5746
601, 11, 7144
701, 11, 7030
801, 11, 6932
901, 11, 6093
1001, 11, 7154
1101, 11, 7027
1201, 11, 7423
1301, 11, 8600
1401, 11, 9331
1501, 11, 8796
1601, 11, 8251
1701, 11, 9942
1801, 11, 7824
1901, 11, 8230
2001, 11, 8798
2101, 11, 7921
2201, 11, 8970
2301, 11, 8912
2401, 11, 8126
2501, 11, 8614
2601, 11, 9515
2701, 11, 8691
2801, 11, 9490
2901, 11, 9320
3001, 11, 9573
3101, 11, 9832
3201, 11, 9423
3301, 11, 9625
3401, 11, 10109
3501, 11, 9391
3601, 11, 8785
3701, 11, 9950
3801, 11, 7697
3901, 11, 9126
4001, 11, 8762
4101, 11, 10764
4201, 11, 8028
4301, 11, 10674
4401, 11, 8174
4501, 11, 10733
4601, 11, 8538
4701, 11, 10752
4801, 11, 9222
4901, 11, 10031
5001, 11, 8094
5101, 11, 9585
5201, 11, 8878
5301, 11, 9868
5401, 11, 8700
5501, 11, 8738
5601, 11, 9121
5701, 11, 9620
5801, 11, 10073
5901, 11, 9456
6001, 11, 10529
6101, 11, 10606
6201, 11, 9154
6301, 11, 9578
6401, 11, 9151
6501, 11, 8410
6601, 11, 9623
6701, 11, 8567
6801, 11, 10914
6901, 11, 8881
7001, 11, 10817
7101, 11, 8328
7201, 11, 10018
7301, 11, 9056
7401, 11, 10015
7501, 11, 9819
7601, 11, 10154
7701, 11, 8991
7801, 11, 9465
7901, 11, 10359
8001, 11, 10387
8101, 11, 10695
8201, 11, 9167
8301, 11, 10277
8401, 11, 9250
8501, 11, 11622
8601, 11, 9016
8701, 11, 10521
8801, 11, 9164
8901, 11, 11280
9001, 11, 9166
9101, 11, 9462
9201, 11, 9335
9301, 11, 11196
9401, 11, 11442
9501, 11, 10280
9601, 11, 9015
9701, 11, 10564
9801, 11, 12349
9901, 11, 9211
1, 21, 11302
101, 21, 8534
201, 21, 10228
301, 21, 10238
401, 21, 12234
501, 21, 9974
601, 21, 10997
701, 21, 12557
801, 21, 10872
901, 21, 11105
1001, 21, 14351
1101, 21, 13282
1201, 21, 13550
1301, 21, 14609
1401, 21, 15524
1501, 21, 15985
1601, 21, 15434
1701, 21, 15199
1801, 21, 15950
1901, 21, 17524
2001, 21, 16054
2101, 21, 16790
2201, 21, 17458
2301, 21, 17320
2401, 21, 16081
2501, 21, 16099
2601, 21, 18235
2701, 21, 16840
2801, 21, 16357
2901, 21, 16702
3001, 21, 16045
3101, 21, 15441
3201, 21, 17528
3301, 21, 18515
3401, 21, 16193
3501, 21, 17779
3601, 21, 17666
3701, 21, 16823
3801, 21, 17011
3901, 21, 16633
4001, 21, 18618
4101, 21, 17070
4201, 21, 16503
4301, 21, 17157
4401, 21, 17238
4501, 21, 18089
4601, 21, 19338
4701, 21, 15452
4801, 21, 16456
4901, 21, 16972
5001, 21, 17725
5101, 21, 17492
5201, 21, 18448
5301, 21, 16891
5401, 21, 19396
5501, 21, 17214
5601, 21, 18859
5701, 21, 20266
5801, 21, 17427
5901, 21, 18327
6001, 21, 17763
6101, 21, 17056
6201, 21, 17581
6301, 21, 18960
6401, 21, 16743
6501, 21, 17097
6601, 21, 18647
6701, 21, 17328
6801, 21, 17863
6901, 21, 18269
7001, 21, 15833
7101, 21, 18106
7201, 21, 17221
7301, 21, 17955
7401, 21, 18402
7501, 21, 17078
7601, 21, 15671
7701, 21, 15883
7801, 21, 18023
7901, 21, 17279
8001, 21, 17436
8101, 21, 17367
8201, 21, 18485
8301, 21, 17401
8401, 21, 19145
8501, 21, 16883
8601, 21, 17346
8701, 21, 16176
8801, 21, 17437
8901, 21, 17636
9001, 21, 17041
9101, 21, 19386
9201, 21, 18158
9301, 21, 17681
9401, 21, 19074
9501, 21, 17241
9601, 21, 18665
9701, 21, 19288
9801, 21, 17370
9901, 21, 17984
1, 31, 16306
101, 31, 16150
201, 31, 17279
301, 31, 15888
401, 31, 15925
501, 31, 14928
601, 31, 17689
701, 31, 17349
801, 31, 17809
901, 31, 21012
1001, 31, 22027
1101, 31, 23709
1201, 31, 21929
1301, 31, 20558
1401, 31, 21504
1501, 31, 24415
1601, 31, 22671
1701, 31, 24853
1801, 31, 26107
1901, 31, 25537
2001, 31, 23233
2101, 31, 23466
2201, 31, 23219
2301, 31, 25243
2401, 31, 26232
2501, 31, 24470
2601, 31, 26643
2701, 31, 25149
2801, 31, 23397
2901, 31, 25383
3001, 31, 26402
3101, 31, 26243
3201, 31, 24570
3301, 31, 26255
3401, 31, 23981
3501, 31, 24544
3601, 31, 25627
3701, 31, 23343
3801, 31, 25205
3901, 31, 25710
4001, 31, 25593
4101, 31, 25033
4201, 31, 25789
4301, 31, 23597
4401, 31, 26414
4501, 31, 25108
4601, 31, 24014
4701, 31, 23701
4801, 31, 24763
4901, 31, 23927
5001, 31, 25614
5101, 31, 23642
5201, 31, 25820
5301, 31, 26443
5401, 31, 23996
5501, 31, 25955
5601, 31, 25481
5701, 31, 26045
5801, 31, 24756
5901, 31, 26621
6001, 31, 24068
6101, 31, 23412
6201, 31, 23907
6301, 31, 25217
6401, 31, 25908
6501, 31, 25022
6601, 31, 24221
6701, 31, 23199
6801, 31, 25888
6901, 31, 26632
7001, 31, 26622
7101, 31, 28037
7201, 31, 26153
7301, 31, 28750
7401, 31, 26668
7501, 31, 23076
7601, 31, 29189
7701, 31, 24422
7801, 31, 24467
7901, 31, 27476
8001, 31, 24273
8101, 31, 24649
8201, 31, 25466
8301, 31, 25528
