num_wavefunction, num_operator, time
1, 1, 688, 1
101, 1, 655, 100
201, 1, 603, 199
301, 1, 584, 285
401, 1, 1915, 368
501, 1, 612, 452
601, 1, 618, 517
701, 1, 655, 592
801, 1, 1905, 671
901, 1, 701, 723
1001, 1, 664, 797
1101, 1, 1450, 877
1201, 1, 706, 922
1301, 1, 645, 978
1401, 1, 1271, 1045
1501, 1, 665, 1073
1601, 1, 1356, 1122
1701, 1, 2052, 1184
1801, 1, 1313, 1213
1901, 1, 1092, 1254
2001, 1, 1324, 1290
2101, 1, 887, 1369
2201, 1, 1142, 1384
2301, 1, 1051, 1413
2401, 1, 1932, 1451
2501, 1, 1264, 1491
2601, 1, 1234, 1509
2701, 1, 1070, 1548
2801, 1, 1201, 1575
2901, 1, 1177, 1591
3001, 1, 1238, 1604
3101, 1, 2344, 1636
3201, 1, 1343, 1654
3301, 1, 1495, 1669
3401, 1, 2480, 1684
3501, 1, 1457, 1707
3601, 1, 1414, 1719
3701, 1, 1650, 1734
3801, 1, 1458, 1757
3901, 1, 1370, 1778
4001, 1, 2328, 1789
4101, 1, 1516, 1813
4201, 1, 2040, 1834
4301, 1, 1837, 1829
4401, 1, 2652, 1847
4501, 1, 1782, 1856
4601, 1, 1681, 1870
4701, 1, 1832, 1880
4801, 1, 1814, 1892
4901, 1, 1789, 1896
5001, 1, 1812, 1909
5101, 1, 1790, 1914
5201, 1, 1752, 1926
5301, 1, 1815, 1929
5401, 1, 2031, 1937
5501, 1, 1814, 1937
5601, 1, 1926, 1946
5701, 1, 1891, 1952
5801, 1, 1966, 1961
5901, 1, 1862, 1972
6001, 1, 2926, 1971
6101, 1, 2068, 1980
6201, 1, 1981, 1984
6301, 1, 1912, 1985
6401, 1, 2355, 1992
6501, 1, 1755, 1995
6601, 1, 1919, 1995
6701, 1, 2051, 1999
6801, 1, 2140, 2001
6901, 1, 1812, 2006
7001, 1, 1878, 2012
7101, 1, 2178, 2014
7201, 1, 1708, 2021
7301, 1, 2182, 2023
7401, 1, 1968, 2023
7501, 1, 2356, 2024
7601, 1, 2015, 2026
7701, 1, 1848, 2029
7801, 1, 2012, 2027
7901, 1, 1574, 2029
8001, 1, 3702, 2028
8101, 1, 1785, 2032
8201, 1, 2083, 2034
8301, 1, 1735, 2037
8401, 1, 2025, 2039
8501, 1, 2184, 2042
8601, 1, 1692, 2042
8701, 1, 1760, 2046
8801, 1, 2015, 2047
8901, 1, 1770, 2048
9001, 1, 1779, 2049
9101, 1, 1848, 2051
9201, 1, 1966, 2052
9301, 1, 1743, 2053
9401, 1, 1781, 2053
9501, 1, 2592, 2053
9601, 1, 3159, 2053
9701, 1, 1789, 2057
9801, 1, 1795, 2056
9901, 1, 2594, 2059
1, 11, 6867, 1
101, 11, 6363, 130
201, 11, 6221, 220
301, 11, 4872, 343
401, 11, 6099, 430
501, 11, 5849, 493
601, 11, 8541, 573
701, 11, 5848, 671
801, 11, 7754, 731
901, 11, 6758, 768
1001, 11, 6157, 904
1101, 11, 7634, 974
1201, 11, 7804, 1011
1301, 11, 8567, 1089
1401, 11, 7651, 1179
1501, 11, 8006, 1175
1601, 11, 8806, 1245
1701, 11, 9337, 1279
1801, 11, 7809, 1279
1901, 11, 9031, 1305
2001, 11, 8827, 1335
2101, 11, 9636, 1439
2201, 11, 8771, 1484
2301, 11, 9598, 1456
2401, 11, 9520, 1492
2501, 11, 10382, 1565
2601, 11, 8275, 1544
2701, 11, 8312, 1586
2801, 11, 8821, 1627
2901, 11, 9475, 1624
3001, 11, 9199, 1659
3101, 11, 8991, 1700
3201, 11, 8644, 1703
3301, 11, 8187, 1750
3401, 11, 10227, 1742
3501, 11, 9045, 1771
3601, 11, 8945, 1769
3701, 11, 11356, 1783
3801, 11, 8931, 1804
3901, 11, 9177, 1792
4001, 11, 9326, 1869
4101, 11, 8787, 1846
4201, 11, 9125, 1863
4301, 11, 9713, 1846
4401, 11, 9939, 1894
4501, 11, 8333, 1902
4601, 11, 8693, 1880
4701, 11, 10541, 1897
4801, 11, 8973, 1923
4901, 11, 9120, 1917
5001, 11, 9062, 1933
5101, 11, 10436, 1932
5201, 11, 9063, 1945
5301, 11, 10501, 1942
5401, 11, 8460, 1956
5501, 11, 10414, 1958
5601, 11, 9039, 1973
5701, 11, 10648, 1975
5801, 11, 9916, 1988
5901, 11, 8963, 1975
6001, 11, 8656, 1985
6101, 11, 10060, 1998
6201, 11, 9668, 1992
6301, 11, 11122, 1995
6401, 11, 10168, 2002
6501, 11, 9598, 2000
6601, 11, 9420, 2124
6701, 11, 10080, 2016
6801, 11, 10313, 2012
6901, 11, 8645, 2019
7001, 11, 10398, 2019
7101, 11, 8612, 2022
7201, 11, 9645, 2027
7301, 11, 9937, 2036
7401, 11, 9135, 2024
7501, 11, 10029, 2029
7601, 11, 9929, 2036
7701, 11, 10278, 2036
7801, 11, 8946, 2038
7901, 11, 9366, 2096
8001, 11, 9803, 2038
8101, 11, 11306, 2034
8201, 11, 8493, 2043
8301, 11, 10088, 2044
8401, 11, 9119, 2043
8501, 11, 11773, 2046
8601, 11, 11040, 2047
8701, 11, 9419, 2057
8801, 11, 10835, 2055
8901, 11, 11217, 2052
9001, 11, 9300, 2052
9101, 11, 10175, 2055
9201, 11, 9837, 2171
9301, 11, 11880, 2058
9401, 11, 9892, 2061
9501, 11, 10305, 2118
9601, 11, 9528, 2055
9701, 11, 11252, 2123
9801, 11, 11964, 2059
9901, 11, 11832, 2063
1, 21, 10117, 1
101, 21, 10870, 154
201, 21, 11305, 251
301, 21, 10585, 397
401, 21, 12751, 457
501, 21, 11628, 556
601, 21, 12855, 668
701, 21, 14000, 703
801, 21, 11881, 811
901, 21, 14463, 833
1001, 21, 14245, 1009
1101, 21, 12636, 1051
1201, 21, 15467, 1121
1301, 21, 17107, 1107
1401, 21, 16872, 1345
1501, 21, 15710, 1250
1601, 21, 15710, 1349
1701, 21, 17085, 1377
1801, 21, 17475, 1356
1901, 21, 17552, 1395
2001, 21, 15778, 1441
2101, 21, 17059, 1470
2201, 21, 16864, 1537
2301, 21, 17074, 1505
2401, 21, 16988, 1575
