num_wavefunction, num_electrons, time, size
1, 1, 883, 1
101, 1, 25331, 47
201, 1, 4431, 61
301, 1, 23688, 63
401, 1, 29922, 64
501, 1, 27987, 64
601, 1, 27944, 64
701, 1, 27652, 64
801, 1, 27947, 64
901, 1, 28836, 64
1001, 1, 28872, 64
1101, 1, 28906, 64
1201, 1, 26780, 64
1301, 1, 30008, 64
1401, 1, 27922, 64
1501, 1, 27947, 64
1601, 1, 27932, 64
1701, 1, 28893, 64
1801, 1, 28924, 64
1901, 1, 27203, 64
2001, 1, 29097, 64
2101, 1, 55171, 64
2201, 1, 31462, 64
2301, 1, 53371, 64
2401, 1, 55895, 64
2501, 1, 54747, 64
2601, 1, 56790, 64
2701, 1, 55992, 64
2801, 1, 54975, 64
2901, 1, 54884, 64
3001, 1, 56574, 64
3101, 1, 54586, 64
3201, 1, 55731, 64
3301, 1, 55893, 64
3401, 1, 55401, 64
3501, 1, 55999, 64
3601, 1, 55878, 64
3701, 1, 56266, 64
3801, 1, 55071, 64
3901, 1, 56921, 64
4001, 1, 56186, 64
4101, 1, 58646, 64
4201, 1, 77948, 64
4301, 1, 60507, 64
4401, 1, 79406, 64
4501, 1, 81216, 64
4601, 1, 83893, 64
4701, 1, 82780, 64
4801, 1, 82248, 64
4901, 1, 84058, 64
5001, 1, 83151, 64
5101, 1, 82870, 64
5201, 1, 82378, 64
5301, 1, 82719, 64
5401, 1, 84262, 64
5501, 1, 83214, 64
5601, 1, 82589, 64
5701, 1, 83541, 64
5801, 1, 82820, 64
5901, 1, 82529, 64
6001, 1, 83642, 64
6101, 1, 85350, 64
6201, 1, 107586, 64
6301, 1, 111074, 64
6401, 1, 109212, 64
6501, 1, 109755, 64
6601, 1, 111330, 64
6701, 1, 110598, 64
6801, 1, 108589, 64
6901, 1, 111819, 64
7001, 1, 109486, 64
7101, 1, 111748, 64
7201, 1, 109170, 64
7301, 1, 108782, 64
7401, 1, 110950, 64
7501, 1, 111086, 64
7601, 1, 109657, 64
7701, 1, 110481, 64
7801, 1, 109769, 64
7901, 1, 111369, 64
8001, 1, 111089, 64
8101, 1, 113100, 64
8201, 1, 133405, 64
8301, 1, 115038, 64
8401, 1, 132720, 64
8501, 1, 137808, 64
8601, 1, 137728, 64
8701, 1, 136484, 64
8801, 1, 138436, 64
8901, 1, 138273, 64
9001, 1, 136248, 64
9101, 1, 137747, 65
9201, 1, 137966, 64
9301, 1, 137827, 64
9401, 1, 137450, 64
9501, 1, 139150, 64
9601, 1, 135817, 64
9701, 1, 137790, 64
9801, 1, 136996, 64
9901, 1, 139338, 64
1, 2, 7763, 1
101, 2, 2497, 100
201, 2, 28244, 199
301, 2, 4968, 285
401, 2, 23066, 368
501, 2, 29199, 452
601, 2, 28215, 517
701, 2, 28423, 592
801, 2, 28711, 671
901, 2, 27848, 723
1001, 2, 28896, 797
1101, 2, 27769, 877
1201, 2, 29138, 922
1301, 2, 27805, 978
1401, 2, 29098, 1045
1501, 2, 25889, 1073
1601, 2, 28387, 1122
1701, 2, 29809, 1184
1801, 2, 27410, 1213
1901, 2, 27715, 1254
2001, 2, 28778, 1290
2101, 2, 30168, 1369
2201, 2, 31598, 1384
2301, 2, 50068, 1413
2401, 2, 55313, 1451
2501, 2, 56042, 1491
2601, 2, 56668, 1509
2701, 2, 54563, 1548
2801, 2, 55060, 1575
2901, 2, 55743, 1591
3001, 2, 56539, 1604
3101, 2, 54826, 1636
3201, 2, 56096, 1654
3301, 2, 54860, 1669
3401, 2, 56619, 1684
3501, 2, 55617, 1707
3601, 2, 54567, 1719
3701, 2, 56498, 1734
3801, 2, 55574, 1757
3901, 2, 54709, 1778
4001, 2, 56160, 1789
4101, 2, 57708, 1813
4201, 2, 79211, 1834
4301, 2, 82594, 1829
4401, 2, 82521, 1847
4501, 2, 84585, 1856
4601, 2, 82707, 1870
4701, 2, 83155, 1880
4801, 2, 81591, 1892
4901, 2, 83389, 1896
5001, 2, 82554, 1909
5101, 2, 82398, 1914
5201, 2, 82190, 1926
5301, 2, 82340, 1929
5401, 2, 83470, 1937
5501, 2, 83149, 1937
5601, 2, 82395, 1946
5701, 2, 82424, 1952
5801, 2, 82080, 1961
5901, 2, 82836, 1972
6001, 2, 83617, 1971
6101, 2, 84824, 1980
6201, 2, 107869, 1984
6301, 2, 109885, 1985
6401, 2, 110758, 1992
6501, 2, 109438, 1995
6601, 2, 109486, 1995
6701, 2, 111448, 1999
6801, 2, 109466, 2001
6901, 2, 111090, 2006
7001, 2, 109136, 2012
