num_operators, num_electrons, time, size
1, 1, 400, 1
101, 1, 33046, 2
201, 1, 64191, 5
301, 1, 90827, 6
401, 1, 125693, 12
501, 1, 174705, 23
601, 1, 240510, 46
701, 1, 327687, 57
801, 1, 415211, 69
901, 1, 530753, 135
1, 2, 455, 1
101, 2, 33332, 2
201, 2, 66016, 5
301, 2, 99305, 7
401, 2, 138092, 17
501, 2, 199135, 59
601, 2, 344980, 170
701, 2, 761774, 582
801, 2, 1762057, 1342
1, 3, 12978, 1
101, 3, 67699, 10
201, 3, 163570, 45
301, 3, 334096, 135
401, 3, 1005483, 519
501, 3, 3126732, 4534
1, 4, 13721, 1
101, 4, 97770, 50
201, 4, 573072, 463
301, 4, 2656211, 2518
1, 5, 9086, 1
101, 5, 99019, 20
201, 5, 1383536, 1052
1, 6, 22713, 1
101, 6, 173606, 100
1, 7, 21443, 1
101, 7, 250321, 100
1, 8, 28578, 1
101, 8, 295141, 120
201, 8, 31028543, 4292
